Judul Berita,Keyword,Sumber Berita,Tanggal Terbit,URL
15 Contoh Cerita Hari Raya Idul Fitri Bersama Keluarga 3 Paragraf,hari raya idul fitri,Detik.com,2025-12-31,https://www.detik.com/edu/detikpedia/d-7865640/15-contoh-cerita-hari-raya-idul-fitri-bersama-keluarga-3-paragraf
Kapan Hari Raya Idul Fitri 2026? Simak Perkiraan Tanggal dari Pemerintah,hari raya idul fitri,Detik.com,2025-12-31,https://www.detik.com/hikmah/khazanah/d-8251315/kapan-hari-raya-idul-fitri-2026-simak-perkiraan-tanggal-dari-pemerintah
Hukum Mengucapkan Selamat Tahun Baru Masehi dalam Islam,hari raya idul fitri,Detik.com,2025-12-31,https://www.detik.com/sumut/berita/d-8284744/hukum-mengucapkan-selamat-tahun-baru-masehi-dalam-islam
Video Jalur Selatan Nagreg Padat di Momen Hari Raya Idul Fitri,hari raya idul fitri,Detik.com,2025-12-31,https://20.detik.com/detikupdate/20250331-250331091/video-jalur-selatan-nagreg-padat-di-momen-hari-raya-idul-fitri
64 Orang Tewas Usai Israel Bombardir Gaza Saat Hari Raya Idul Fitri 2025,hari raya idul fitri,Detik.com,2025-12-31,https://www.detik.com/sumbagsel/berita/d-7850559/64-orang-tewas-usai-israel-bombardir-gaza-saat-hari-raya-idul-fitri-2025
Hari Raya Idul Fitri 2025 Berapa Hijriah? Cek di Sini Konversinya!,hari raya idul fitri,Detik.com,2025-12-31,https://www.detik.com/sulsel/berita/d-7842734/hari-raya-idul-fitri-2025-berapa-hijriah-cek-di-sini-konversinya
Doa Niat Mandi Sunnah Hari Raya Idul Fitri beserta Tata Caranya,hari raya idul fitri,Detik.com,2025-12-31,https://www.detik.com/sulsel/berita/d-7849080/doa-niat-mandi-sunnah-hari-raya-idul-fitri-beserta-tata-caranya
7 Potret Kekompakan Artis Rayakan Lebaran Bareng Keluarga yang Beda Keyakinan,hari raya idul fitri,Detik.com,2025-12-31,https://wolipop.detik.com/foto-entertainment/d-7855797/7-potret-kekompakan-artis-rayakan-lebaran-bareng-keluarga-yang-beda-keyakinan
Hari Raya Idul Fitri Muhammadiyah 2025 Tanggal Berapa? Ini Jadwal Resminya,hari raya idul fitri,Detik.com,2025-12-31,https://www.detik.com/sulsel/berita/d-7840692/hari-raya-idul-fitri-muhammadiyah-2025-tanggal-berapa-ini-jadwal-resminya
"30 Ucapan Hari Raya Idul Fitri untuk Guru, Penuh Makna dan Ketulusan!",hari raya idul fitri,Detik.com,2025-12-31,https://www.detik.com/edu/detikpedia/d-7845915/30-ucapan-hari-raya-idul-fitri-untuk-guru-penuh-makna-dan-ketulusan
Bisnis,Harga Cabai Merah,vivanews.com,30 Desember 2025 | 10:40 WIB,https://www.viva.co.id/bisnis/1870922-harga-cabai-dan-telur-ayam-kembali-naik-cek-daftar-komoditas-lainnya
Bisnis,Harga Cabai Merah,vivanews.com,29 Desember 2025 | 11:40 WIB,https://www.viva.co.id/bisnis/1870698-harga-cabai-anjlok-jadi-rp-45-000-per-kg-diikuti-telur-dan-daging-ayam-cek-daftarnya
Bisnis,Harga Cabai Merah,vivanews.com,26 Desember 2025 | 15:00 WIB,https://www.viva.co.id/bisnis/1870338-harga-cabai-kembali-naik-ke-rp-70-950-per-kg-cek-daftar-komoditas-lainnya
Bisnis,Harga Cabai Merah,vivanews.com,24 Desember 2025 | 11:22 WIB,https://www.viva.co.id/bisnis/1869977-harga-cabai-anjlok-jadi-rp-52-850-per-kg-catat-daftar-lengkap-komoditas-lainnya
Bisnis,Harga Cabai Merah,vivanews.com,23 Desember 2025 | 10:30 WIB,https://www.viva.co.id/bisnis/1869729-harga-cabai-naik-lagi-ke-rp-73-850-per-kg-catat-daftar-harga-komoditas-lainnya
Bisnis,Harga Cabai Merah,vivanews.com,22 Desember 2025 | 10:29 WIB,https://www.viva.co.id/bisnis/1869486-harga-cabai-beras-daging-sapi-hingga-telur-kompak-turun-cek-daftar-lengkapnya
Bisnis,Harga Cabai Merah,vivanews.com,21 Desember 2025 | 12:00 WIB,https://www.viva.co.id/bisnis/1869352-harga-cabai-turun-dan-telur-stagnan-di-rp-33-000-per-kg-catat-daftar-lengkapnya
Bisnis,Harga Cabai Merah,vivanews.com,19 Desember 2025 | 10:29 WIB,https://www.viva.co.id/bisnis/1868943-harga-cabai-turun-ke-rp-74-800-per-kg-diikuti-telur-dan-bawang-cek-daftar-lengkapnya
