Judul Berita,Keyword,Sumber Berita,Tanggal Terbit,URL
"Harga Telur Ayam Meroket, di Daerah Ini Tembus Rp 100.000/Kg",Harga telur ayam,Detik.com,2025-11-26,https://finance.detik.com/berita-ekonomi-bisnis/d-8055502/harga-telur-ayam-meroket-di-daerah-ini-tembus-rp-100-000-kg
"Harga Sembako Jatim Hari Ini: Cabai Keriting-Rawit Naik, Bawang Merah Turun",Harga telur ayam,Detik.com,2025-11-26,https://www.detik.com/jatim/bisnis/d-8229067/harga-sembako-jatim-hari-ini-cabai-keriting-rawit-naik-bawang-merah-turun
Harga Emas Antam Turun Tipis Jadi Segini,Harga kedelai,Detik.com,2025-11-26,https://finance.detik.com/berita-ekonomi-bisnis/d-8229023/harga-emas-antam-turun-tipis-jadi-segini
Segini Kisaran Harga Semen per 50 Kg Terbaru 2025,Harga kedelai,Detik.com,2025-11-26,https://www.detik.com/properti/tips-dan-panduan/d-8229176/segini-kisaran-harga-semen-per-50-kg-terbaru-2025
"Ada versi Hybrid, Ini Daftar Harga Toyota Veloz Terbaru",Harga kedelai,Detik.com,2025-11-26,https://oto.detik.com/mobil/d-8229107/ada-versi-hybrid-ini-daftar-harga-toyota-veloz-terbaru
Zulhas Sebut Bulog Mau Impor 350 Ribu Ton untuk Tekan Harga Kedelai,Harga kedelai,Detik.com,2025-11-26,https://20.detik.com/detikflash/20221101-221101137/zulhas-sebut-bulog-mau-impor-350-ribu-ton-untuk-tekan-harga-kedelai
Harga Emas Hari Ini di Semarang 26 November 2025: Pegadaian Melonjak Tajam!,Harga kedelai,Detik.com,2025-11-26,https://www.detik.com/jateng/bisnis/d-8229198/harga-emas-hari-ini-di-semarang-26-november-2025-pegadaian-melonjak-tajam
Realme C85 dan C85 Pro: Harga dan Spesifikasi Lengkap di Indonesia,Harga kedelai,Detik.com,2025-11-26,https://inet.detik.com/consumer/d-8229223/realme-c85-dan-c85-pro-harga-dan-spesifikasi-lengkap-di-indonesia
"Harga Sembako Jatim Hari Ini: Cabai Keriting-Rawit Naik, Bawang Merah Turun",Harga kedelai,Detik.com,2025-11-26,https://www.detik.com/jatim/bisnis/d-8229067/harga-sembako-jatim-hari-ini-cabai-keriting-rawit-naik-bawang-merah-turun
Harga Kedelai Merangkak Naik,Harga kedelai,Detik.com,2025-11-26,https://news.detik.com/foto-news/d-8218788/harga-kedelai-merangkak-naik
"Harga Emas Antam Surabaya Hari Ini Turun, 1 Gram Jadi Rp 2.378.000",Harga kedelai,Detik.com,2025-11-26,https://www.detik.com/jatim/bisnis/d-8229028/harga-emas-antam-surabaya-hari-ini-turun-1-gram-jadi-rp-2-378-000
Harga Emas Hari Ini di Jogja 26 November 2025: Pegadaian Jadi Semahal Ini!,Harga kedelai,Detik.com,2025-11-26,https://www.detik.com/jogja/bisnis/d-8229120/harga-emas-hari-ini-di-jogja-26-november-2025-pegadaian-jadi-semahal-ini
Polri Ubah Paradigma Penanganan Unjuk Rasa dari Pengamanan Jadi Pelayanan,demonstrasi,Detik.com,2025-11-26,https://news.detik.com/berita/d-8226513/polri-ubah-paradigma-penanganan-unjuk-rasa-dari-pengamanan-jadi-pelayanan
"Buruh di Lebak Demo Minta Upah Minimum 2026 Naik 10,5%",demonstrasi,Detik.com,2025-11-26,https://news.detik.com/berita/d-8226009/buruh-di-lebak-demo-minta-upah-minimum-2026-naik-10-5
Maxim Buka Suara soal Ojol Tolak Jadi Karyawan Tetap Saat Demo di Makassar,demonstrasi,Detik.com,2025-11-26,https://www.detik.com/sulsel/makassar/d-8227486/maxim-buka-suara-soal-ojol-tolak-jadi-karyawan-tetap-saat-demo-di-makassar
Video: Sungai Venice Berubah Jadi Hijau Imbas Protes Aktivis Iklim,demonstrasi,Detik.com,2025-11-26,https://20.detik.com/detikupdate/20251122-251122050/video-sungai-venice-berubah-jadi-hijau-imbas-protes-aktivis-iklim
"Buruh Batal Demo Hari Ini, Usul 3 Opsi Upah Minimum",demonstrasi,Detik.com,2025-11-26,https://finance.detik.com/berita-ekonomi-bisnis/d-8225272/buruh-batal-demo-hari-ini-usul-3-opsi-upah-minimum
"Buruh Demo Besar-besaran di Sekitar Istana-DPR Hari Ini, Berikut Tuntutannya",demonstrasi,Detik.com,2025-11-26,https://news.detik.com/berita/d-8225125/buruh-demo-besar-besaran-di-sekitar-istana-dpr-hari-ini-berikut-tuntutannya
Anatomi Demonstrasi,demonstrasi,Detik.com,2025-11-26,https://news.detik.com/kolom/d-8094755/anatomi-demonstrasi
"Aktivis Serbu Kedubes Jepang, AZEC Dinilai Bukan Solusi Iklim",demonstrasi,Detik.com,2025-11-26,https://news.detik.com/foto-news/d-8180103/aktivis-serbu-kedubes-jepang-azec-dinilai-bukan-solusi-iklim
Misi Meredam Gejolak Demonstrasi,demonstrasi,Detik.com,2025-11-26,https://news.detik.com/x/detail/spotlight/20250902/Misi-Meredam-Gejolak-Demonstrasi/
Video: Sungai Venice Berubah Jadi Hijau Imbas Protes Aktivis Iklim,demonstrasi,Detik.com,2025-11-26,https://20.detik.com/detikupdate/20251122-251122050/video-sungai-venice-berubah-jadi-hijau-imbas-protes-aktivis-iklim
KPK Panggil Kepala Kantor Pajak Palangka Raya Terkait Korupsi LPEI,panen raya,Detik.com,2025-11-26,https://news.detik.com/berita/d-8229554/kpk-panggil-kepala-kantor-pajak-palangka-raya-terkait-korupsi-lpei
"Bupati BBS Panen Raya Cabai di Muaro Jambi, Ekonomi Petani Terus Didongkrak",panen raya,Detik.com,2025-11-26,https://www.detik.com/sumbagsel/berita/d-8220354/bupati-bbs-panen-raya-cabai-di-muaro-jambi-ekonomi-petani-terus-didongkrak
Polres Probolinggo Kota dan Poktan Kanigaran Gelar Panen Raya Jagung,panen raya,Detik.com,2025-11-26,https://www.detik.com/jatim/jogo-jatim/d-8134319/polres-probolinggo-kota-dan-poktan-kanigaran-gelar-panen-raya-jagung
"Kejagung Pakai Lahan Sitaan Kasus Korupsi ASABRI, Bisa Panen 2.640 Ton Gabah",panen raya,Detik.com,2025-11-26,https://20.detik.com/detikupdate/20250819-250819061/kejagung-pakai-lahan-sitaan-kasus-korupsi-asabri-bisa-panen-2-640-ton-gabah
Cara Petani Pangandaran Rayakan Panen Raya dengan Balap Traktor,panen raya,Detik.com,2025-11-26,https://www.detik.com/jabar/berita/d-8083832/cara-petani-pangandaran-rayakan-panen-raya-dengan-balap-traktor
"Panen Raya 2,8 Juta Ton di Oku Timur, Rajiv: Bukti Kerja Kolaboratif",panen raya,Detik.com,2025-11-26,https://news.detik.com/berita/d-8133539/panen-raya-2-8-juta-ton-di-oku-timur-rajiv-bukti-kerja-kolaboratif
"Wagub Sulsel & Titiek Soeharto Panen Raya di Maros, Capai 9 Ton/Hektare",panen raya,Detik.com,2025-11-26,https://news.detik.com/berita/d-8059679/wagub-sulsel-titiek-soeharto-panen-raya-di-maros-capai-9-ton-hektare
"Melihat Pameran Panen Raya, Merajut Cerita Alam Lewat Bahasa Seni",panen raya,Detik.com,2025-11-26,https://www.detik.com/pop/foto/d-8144804/melihat-pameran-panen-raya-merajut-cerita-alam-lewat-bahasa-seni
"Sukseskan Ketahanan Pangan, Polres Inhu Panen Raya Jagung 600 Kg",panen raya,Detik.com,2025-11-26,https://news.detik.com/melindungi-tuah-marwah/d-8050665/sukseskan-ketahanan-pangan-polres-inhu-panen-raya-jagung-600-kg
"Panen Raya di 10 Provinsi, Pasokan Beras Nasional Sangat Aman & Terkendali",panen raya,Detik.com,2025-11-26,https://finance.detik.com/berita-ekonomi-bisnis/d-8095892/panen-raya-di-10-provinsi-pasokan-beras-nasional-sangat-aman-terkendali
"Hitung Mundur Idul Adha 2025, Berapa Hari Lagi Menuju Hari Raya Kurban?",hari raya kurban,Detik.com,2025-11-26,https://www.detik.com/sulsel/berita/d-7929747/hitung-mundur-idul-adha-2025-berapa-hari-lagi-menuju-hari-raya-kurban
"60+ Ucapan Idul Adha 2025 Islami dan Balasannya, Selamat Hari Raya Kurban!",hari raya kurban,Detik.com,2025-11-26,https://www.detik.com/jogja/berita/d-7951674/60-ucapan-idul-adha-2025-islami-dan-balasannya-selamat-hari-raya-kurban
50 Ucapan Hari Raya Idul Adha Terbaru 2025 Berbagai Tema,hari raya kurban,Detik.com,2025-11-26,https://www.detik.com/sumut/berita/d-7948230/50-ucapan-hari-raya-idul-adha-terbaru-2025-berbagai-tema
"Kemeriahan Kontes Sapi Potong Menjelang Hari Raya Kurban, Sidoarjo",hari raya kurban,Detik.com,2025-11-26,https://20.detik.com/spot-wisata/20240626-240701013/kemeriahan-kontes-sapi-potong-menjelang-hari-raya-kurban-sidoarjo
Idul Adha 2025 Berapa Hijriah? Ini Penjelasannya,hari raya kurban,Detik.com,2025-11-26,https://www.detik.com/hikmah/khazanah/d-7947142/idul-adha-2025-berapa-hijriah-ini-penjelasannya
Jemaah Aboge di Probolinggo Gelar Salat Idul Adha Pagi Ini,hari raya kurban,Detik.com,2025-11-26,https://www.detik.com/jatim/berita/d-7954110/jemaah-aboge-di-probolinggo-gelar-salat-idul-adha-pagi-ini
"Serba-serbi Hari Raya Kurban, Sapi Hilang-Ngamuk karena Suara Motor",hari raya kurban,Detik.com,2025-11-26,https://www.detik.com/sumbagsel/berita/d-7398066/serba-serbi-hari-raya-kurban-sapi-hilang-ngamuk-karena-suara-motor
Potret Tradisi Unik Idul Adha di Berbagai Negara,hari raya kurban,Detik.com,2025-11-26,https://news.detik.com/foto-news/d-7951694/potret-tradisi-unik-idul-adha-di-berbagai-negara
"8 Amalan Sunnah Idul Adha, Muslim Sudah Tahu?",hari raya kurban,Detik.com,2025-11-26,https://www.detik.com/hikmah/khazanah/d-7900878/8-amalan-sunnah-idul-adha-muslim-sudah-tahu
45+ Daftar Ucapan Idul Adha 2025 Islami dan Penuh Makna,hari raya kurban,Detik.com,2025-11-26,https://www.detik.com/jabar/jabar-gaskeun/d-7948840/45-daftar-ucapan-idul-adha-2025-islami-dan-penuh-makna
64 Orang Tewas Usai Israel Bombardir Gaza Saat Hari Raya Idul Fitri 2025,hari raya idul fitri,Detik.com,2025-11-26,https://www.detik.com/sumbagsel/berita/d-7850559/64-orang-tewas-usai-israel-bombardir-gaza-saat-hari-raya-idul-fitri-2025
15 Contoh Cerita Hari Raya Idul Fitri Bersama Keluarga 3 Paragraf,hari raya idul fitri,Detik.com,2025-11-26,https://www.detik.com/edu/detikpedia/d-7865640/15-contoh-cerita-hari-raya-idul-fitri-bersama-keluarga-3-paragraf
55+ Ucapan Hari Raya Idul Fitri Singkat dan Menyentuh Hati,hari raya idul fitri,Detik.com,2025-11-26,https://www.detik.com/sumbagsel/berita/d-7848767/55-ucapan-hari-raya-idul-fitri-singkat-dan-menyentuh-hati
Video Jalur Selatan Nagreg Padat di Momen Hari Raya Idul Fitri,hari raya idul fitri,Detik.com,2025-11-26,https://20.detik.com/detikupdate/20250331-250331091/video-jalur-selatan-nagreg-padat-di-momen-hari-raya-idul-fitri
Cara Membalas Ucapan Hari Raya Idul Fitri Sesuai Sunnah,hari raya idul fitri,Detik.com,2025-11-26,https://www.detik.com/hikmah/khazanah/d-7848169/cara-membalas-ucapan-hari-raya-idul-fitri-sesuai-sunnah
Kapan Hari Raya Idul Fitri 2025? Ini Prediksi Kemenag,hari raya idul fitri,Detik.com,2025-11-26,https://www.detik.com/sumbagsel/berita/d-7847039/kapan-hari-raya-idul-fitri-2025-ini-prediksi-kemenag
"Hari Raya Idul Fitri 2025 versi Muhammadiyah, Pemerintah, dan NU",hari raya idul fitri,Detik.com,2025-11-26,https://www.detik.com/sumbagsel/berita/d-7846542/hari-raya-idul-fitri-2025-versi-muhammadiyah-pemerintah-dan-nu
7 Potret Kekompakan Artis Rayakan Lebaran Bareng Keluarga yang Beda Keyakinan,hari raya idul fitri,Detik.com,2025-11-26,https://wolipop.detik.com/foto-entertainment/d-7855797/7-potret-kekompakan-artis-rayakan-lebaran-bareng-keluarga-yang-beda-keyakinan
45 Ucapan Selamat Hari Raya Idul Fitri 2025,hari raya idul fitri,Detik.com,2025-11-26,https://www.detik.com/hikmah/khazanah/d-7848206/45-ucapan-selamat-hari-raya-idul-fitri-2025
80+ Ucapan Selamat Hari Raya Idul Fitri untuk Teman-Pasangan,hari raya idul fitri,Detik.com,2025-11-26,https://www.detik.com/hikmah/khazanah/d-7849099/80-ucapan-selamat-hari-raya-idul-fitri-untuk-teman-pasangan
Harga Minyak Goreng-Gula di Sumut Makin Mahal,Harga gula pasir,Detik.com,2025-11-26,https://www.detik.com/sumut/berita/d-8143534/harga-minyak-goreng-gula-di-sumut-makin-mahal
"Harga Sembako Jatim Hari Ini: Cabai Keriting-Rawit Naik, Bawang Merah Turun",Harga gula pasir,Detik.com,2025-11-26,https://www.detik.com/jatim/bisnis/d-8229067/harga-sembako-jatim-hari-ini-cabai-keriting-rawit-naik-bawang-merah-turun
Cek Harga Pasir Bangka untuk Bangunan per 1 Truk di 2025,Harga gula pasir,Detik.com,2025-11-26,https://www.detik.com/properti/tips-dan-panduan/d-8216713/cek-harga-pasir-bangka-untuk-bangunan-per-1-truk-di-2025
Pedagang-Pembeli di Pasar Benhil Keluhkan Harga Gula Pasir Jelang Ramadan,Harga gula pasir,Detik.com,2025-11-26,https://20.detik.com/detikflash/20220402-220402076/pedagang-pembeli-di-pasar-benhil-keluhkan-harga-gula-pasir-jelang-ramadan
Apa Benar Gula Aren Lebih Sehat dari Gula Pasir? Ini Fakta Nutrisinya,Harga gula pasir,Detik.com,2025-11-26,https://food.detik.com/info-sehat/d-8096535/apa-benar-gula-aren-lebih-sehat-dari-gula-pasir-ini-fakta-nutrisinya
